Average of reward,Column Labels,,,
Row Labels,correct100_importance50_true,correct150_importance50_true,correct200_importance50_true,Grand Total
0,2186.661111,2211.844444,2231.166667,2209.890741
10,2164.377778,2258.6,2265.711111,2229.562963
20,2226.088889,2201.055556,2293.288889,2240.144444
30,2353.533333,2287.927778,2305.794444,2315.751852
40,2366.994444,2354.972222,2363.238889,2361.735185
50,2467.727778,2494.433333,2383.45,2448.537037
60,2469.133333,2484.544444,2467.072222,2473.583333
70,2518.922222,2583.533333,2470.122222,2524.192593
80,2449.494444,2551.805556,2600.661111,2533.987037
90,2499.638889,2560.916667,2581.811111,2547.455556
100,2444.266667,2552.322222,2624.5,2540.362963
110,2492.588889,2655.277778,2633.161111,2593.675926
120,2516.3,2639.355556,2731.477778,2629.044444
130,2542.511111,2714.705556,2856.272222,2704.496296
140,2536.1,2618.255556,2792.205556,2648.853704
150,2561.183333,2624.394444,3029.983333,2738.52037
160,2563.344444,2638.038889,3024.727778,2742.037037
170,2647.788889,2701.705556,3020.716667,2790.07037
180,2675.305556,2858.066667,3043.55,2858.974074
190,2676.2,2870.327778,3192.044444,2912.857407
200,2790.994444,2932.45,3109.927778,2944.457407
210,2883.972222,2920.911111,3231.294444,3012.059259
220,2863.561111,3053.361111,3281.911111,3066.277778
230,2879.955556,2985.044444,3246.677778,3037.225926
240,2957.311111,3112.144444,3328.944444,3132.8
250,2960.977778,3166.838889,3397.605556,3175.140741
260,2964.172222,3113.911111,3377.355556,3151.812963
270,3058.455556,3160.466667,3445.016667,3221.312963
280,3077.038889,3233.277778,3331.372222,3213.896296
290,3116.6,3299.5,3561.655556,3325.918519
300,3199.044444,3287.783333,3397.594444,3294.807407
310,3232.844444,3429.261111,3388.627778,3350.244444
320,3250.738889,3361.183333,3459.188889,3357.037037
330,3319.083333,3350.75,3506.166667,3392
340,3276.672222,3347.705556,3483.705556,3369.361111
350,3266.25,3437.594444,3472.011111,3391.951852
360,3328.294444,3437.877778,3435.522222,3400.564815
370,3396.333333,3468.405556,3565.611111,3476.783333
380,3388.638889,3554.733333,3587.077778,3510.15
390,3453.2,3456.361111,3511.822222,3473.794444
400,3452.138889,3536.144444,3525.261111,3504.514815
410,3409.288889,3539.422222,3536.033333,3494.914815
420,3432.55,3515.722222,3600.311111,3516.194444
430,3540.25,3628.794444,3603.222222,3590.755556
440,3594.55,3505.888889,3609.111111,3569.85
450,3484.233333,3540.622222,3704.15,3576.335185
460,3500.15,3546.183333,3626.811111,3557.714815
470,3588.527778,3522.466667,3673.9,3594.964815
480,3594.2,3548.344444,3706.644444,3616.396296
490,3611.077778,3565.416667,3733.172222,3636.555556
500,3501.305556,3645.744444,3727.638889,3624.896296
510,3486.322222,3676.1,3665.627778,3609.35
520,3604.916667,3685.55,3758.244444,3682.903704
530,3659.255556,3643.644444,3717.9,3673.6
540,3478.666667,3650.561111,3695.727778,3608.318519
550,3651.266667,3702.694444,3666.272222,3673.411111
560,3599.661111,3677.411111,3689.627778,3655.566667
570,3661.944444,3635.444444,3777.5,3691.62963
580,3595.983333,3719.038889,3759.066667,3691.362963
590,3619.888889,3672.55,3776.05,3689.496296
600,3719.761111,3683.35,3695.183333,3699.431481
610,3695.05,3650.616667,3732.311111,3692.659259
620,3671.988889,3657.422222,3799.433333,3709.614815
630,3609.661111,3718.9,3737.572222,3688.711111
640,3723.233333,3714.877778,3731.311111,3723.140741
650,3718.527778,3728.9,3709.1,3718.842593
660,3770.938889,3760.111111,3748.294444,3759.781481
670,3719.894444,3740.877778,3761.472222,3740.748148
680,3783.744444,3740.583333,3756,3760.109259
690,3733.311111,3720.172222,3808.977778,3754.153704
700,3732.783333,3739.244444,3760.555556,3744.194444
710,3689.355556,3763.305556,3757.272222,3736.644444
720,3750.422222,3758.516667,3780.611111,3763.183333
730,3753.383333,3774.55,3794.65,3774.194444
740,3757.161111,3713,3800.455556,3756.872222
750,3728.577778,3771.488889,3767.533333,3755.866667
760,3776.372222,3734.538889,3772.994444,3761.301852
770,3724.572222,3783.955556,3796.388889,3768.305556
780,3715.138889,3683.427778,3756.783333,3718.45
790,3766.816667,3792.227778,3756.861111,3771.968519
800,3728.755556,3718.361111,3740.327778,3729.148148
Grand Total,3226.641084,3289.849588,3377.116118,3297.86893
